,NAV
2010-07-22,0.9504943620487436
2010-07-23,0.9505599895669867
2010-07-26,0.9395530520860647
2010-07-27,0.9184780940109389
2010-07-28,0.9175289751115399
2010-07-29,0.9209903507469255
2010-07-30,0.9266561747230478
2010-08-02,0.9295900018325539
2010-08-03,0.9335076678178207
2010-08-04,0.929813732345389
2010-08-05,0.9289855235529818
2010-08-06,0.9441198601193543
2010-08-09,0.9362625387125384
2010-08-10,0.9297555879882637
2010-08-11,0.9351406617001219
2010-08-12,0.9337524883342272
2010-08-13,0.9403414571992584
2010-08-16,0.9406557012351932
2010-08-17,0.9500095637181729
2010-08-18,0.9476740387286319
2010-08-19,0.946531972410917
2010-08-20,0.9451473708839744
2010-08-23,0.9406714684415207
2010-08-24,0.9336844412891164
2010-08-25,0.9306091035358128
2010-08-26,0.9372806971651835
2010-08-27,0.9483207036310151
2010-08-30,0.9434714470256187
2010-08-31,0.9346151005277071
2010-09-01,0.9386425213458875
2010-09-02,0.9378189374141037
2010-09-03,0.9392041981784294
2010-09-06,0.9299936940143826
2010-09-07,0.9313329115039398
2010-09-08,0.9418948978811519
2010-09-09,0.9310792072257552
2010-09-10,0.9268697779306145
2010-09-13,0.9189273681628998
2010-09-14,0.9196876466357942
2010-09-15,0.9128861118172498
2010-09-16,0.9039306839487672
2010-09-17,0.9040026709586093
2010-09-20,0.9025421974702872
2010-09-21,0.9049346582085602
2010-09-27,0.9168008225548397
2010-09-28,0.9200570528083417
2010-09-29,0.9172877243190346
2010-09-30,0.9169798179813177
2010-10-08,0.9040065588683739
2010-10-11,0.9145677384442662
2010-10-12,0.9020454374865156
2010-10-13,0.8935327637255058
2010-10-14,0.8943109815832959
2010-10-15,0.9002948353545877
2010-10-18,0.9036207789240376
2010-10-19,0.9027852548915403
2010-10-20,0.9099428265441716
2010-10-21,0.9103309984429877
2010-10-22,0.9102492333143196
2010-10-25,0.9153939120535979
2010-10-26,0.9166428236023231
2010-10-27,0.9188092989392823
2010-10-28,0.9165417555589549
2010-10-29,0.9132572071151475
2010-11-01,0.9163788291988522
2010-11-02,0.9160912183300445
2010-11-03,0.9158331952298088
2010-11-04,0.9231586578662989
2010-11-05,0.9256334168722963
2010-11-08,0.9164645816459751
2010-11-09,0.9081484245696803
2010-11-10,0.8997015783310578
2010-11-11,0.8946523003419272
2010-11-12,0.8910476229602651
2010-11-15,0.8885869486944415
2010-11-16,0.8870712053516128
2010-11-17,0.8838126868215702
2010-11-18,0.8828191693962756
2010-11-19,0.8866275383654695
2010-11-22,0.8715441289994063
2010-11-23,0.8776787672738049
2010-11-24,0.875189730045687
2010-11-25,0.8658041378141905
2010-11-26,0.8641079934900876
2010-11-29,0.8638204700261813
2010-11-30,0.86206254065804
2010-12-01,0.8554634526625158
2010-12-02,0.8475116519503435
2010-12-03,0.832220348029735
2010-12-06,0.8238335287748293
2010-12-07,0.8123499241598185
2010-12-08,0.8185542579159164
2010-12-09,0.8161981150625462
2010-12-10,0.8146103953853326
2010-12-13,0.8073684039746083
2010-12-14,0.8006787851648558
2010-12-15,0.8018484503465887
2010-12-16,0.7992730341775637
2010-12-17,0.7909867713393234
2010-12-20,0.7884958082156646
2010-12-21,0.788127022303385
2010-12-22,0.7928209771805281
2010-12-23,0.78374900521151
2010-12-24,0.7715081713853851
2010-12-27,0.7737552801068752
2010-12-28,0.7914020930338068
2010-12-29,0.8097063411509161
2010-12-30,0.8083502397107254
2010-12-31,0.8065655381992062
2011-01-04,0.7959563009483885
2011-01-05,0.7866979051773763
2011-01-06,0.8009843249511658
2011-01-07,0.7935016879366389
2011-01-10,0.7957612839139794
2011-01-11,0.7982976306537206
2011-01-12,0.794997481160262
2011-01-13,0.7945077976778402
2011-01-14,0.7923676094998974
2011-01-17,0.7962959332201971
2011-01-18,0.8011844227055758
2011-01-19,0.8041536042779892
2011-01-20,0.7962088976551637
2011-01-21,0.8040160808208305
2011-01-24,0.8046790856044951
2011-01-25,0.8055108325844208
2011-01-26,0.8068576557994068
2011-01-27,0.8066742615637057
2011-01-28,0.8114926168669185
2011-01-31,0.8100786030680124
2011-02-01,0.808035593121804
2011-02-09,0.807225661994617
2011-02-10,0.8099839026593916
2011-02-11,0.8149836848323373
2011-02-14,0.8147630621293386
2011-02-15,0.8193413348700798
2011-02-16,0.8204436014723447
2011-02-17,0.8191760710023978
2011-02-18,0.8140633377063711
2011-02-21,0.8140254137470837
2011-02-22,0.8188932122993613
2011-02-23,0.8179386763231941
2011-02-24,0.813938261077732
2011-02-25,0.8113661672820103
2011-02-28,0.8147199287812098
2011-03-01,0.8181830260598456
2011-03-02,0.819197097359847
2011-03-03,0.8213567160150441
2011-03-04,0.8071713164164088
2011-03-07,0.8032066861337461
2011-03-08,0.8102961613764613
2011-03-09,0.8123305133681427
2011-03-10,0.8041703353746192
2011-03-11,0.8024030053111402
2011-03-14,0.8005955273718462
2011-03-15,0.7929323286027246
2011-03-16,0.7909779376196809
2011-03-17,0.7898274364254874
2011-03-18,0.77443170371294
2011-03-21,0.7669064984044432
2011-03-22,0.7657692584525905
2011-03-23,0.7737321943582415
2011-03-24,0.7747537788541085
2011-03-25,0.7725579120002963
2011-03-28,0.7752533426129381
2011-03-29,0.7757198311587892
2011-03-30,0.7809371574926954
2011-03-31,0.7828444268086784
2011-04-01,0.7841062287198896
2011-04-06,0.779524969784452
2011-04-07,0.7855008850836064
2011-04-08,0.7837518925504111
2011-04-11,0.7864051223619072
2011-04-12,0.7822618441590253
2011-04-13,0.7781013006663259
2011-04-14,0.7823071425293285
2011-04-15,0.7801458733829127
2011-04-18,0.777173705239236
2011-04-19,0.7795054561077538
2011-04-20,0.7783705165189743
2011-04-21,0.7808920463843896
2011-04-22,0.782929522010271
2011-04-25,0.7826382385037977
2011-04-26,0.7761552461144156
2011-04-27,0.7767781592392635
2011-04-28,0.7741319562124237
2011-04-29,0.7725029871997996
2011-05-03,0.7710813393202618
2011-05-04,0.7667987885942572
2011-05-05,0.7696359477312326
2011-05-06,0.7648981033197203
2011-05-09,0.7623679326184535
2011-05-10,0.7649474687494537
2011-05-11,0.7626918932153403
2011-05-12,0.7586094846782121
2011-05-13,0.7548323280830648
2011-05-16,0.7572068021058961
2011-05-17,0.7607938120358256
2011-05-18,0.7601298702551701
2011-05-19,0.7586679941765978
2011-05-20,0.7579191938963472
2011-05-23,0.7493630444951244
2011-05-24,0.7495827465035991
2011-05-25,0.7479362532045422
2011-05-26,0.7462220876156666
2011-05-27,0.7448632506034966
2011-05-30,0.7475198204520853
2011-05-31,0.7447530715586566
2011-06-01,0.7495085171036834
2011-06-02,0.7480964339925904
2011-06-03,0.751894631721241
2011-06-07,0.7540896261282679
2011-06-08,0.7508121850981221
2011-06-09,0.7487170559917673
2011-06-10,0.743819335462226
2011-06-13,0.7349492272301326
2011-06-14,0.733263671163235
2011-06-15,0.7312508583121785
2011-06-16,0.726897675874166
2011-06-17,0.7294060770601268
2011-06-20,0.7299403133221357
2011-06-21,0.7249344048558011
2011-06-22,0.7220568336882598
2011-06-23,0.7150241044380586
2011-06-24,0.7195057523625835
2011-06-27,0.7125208692459669
2011-06-28,0.7092012089608937
2011-06-29,0.7103806958267495
2011-06-30,0.7124357427237759
2011-07-01,0.711817033028455
2011-07-04,0.7002287727244066
2011-07-05,0.7012653626391271
2011-07-06,0.7029474239986124
2011-07-07,0.7060769059109379
2011-07-08,0.7041160400111396
2011-07-11,0.6988872191088006
2011-07-12,0.7001343773993259
2011-07-13,0.6967399227655955
